City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
138,Acayucan,MX,77.67,17.95,-94.92,Hotel Arcos Del Parque
139,Podor,MR,85.06,16.65,-14.96,La cour du fleuve
140,Sayyan,YE,61.14,15.17,44.32,الاستاذة مروى اليوسفي
143,Biryusinsk,RU,60.69,55.96,97.82,Zhil Gorodke
144,Casa Nova,BR,72.59,-9.42,-41.13,Pousada e Restaurante Dona Xinha
146,The Valley,AI,84.2,18.22,-63.06,CeBlue Villas & Beach Resort
149,Cozumel,MX,84.2,20.51,-86.95,Cozumel Palace® All Inclusive Resort
151,Faya,SA,64.4,18.39,42.45,مقبرة ال مجمل
153,Jamestown,US,69.01,42.1,-79.24,Hampton Inn & Suites Jamestown
155,Ilirska Bistrica,SI,62.01,45.57,14.24,Rooms Antonija
157,Aswan,EG,82.4,24.09,32.91,Nuba Nile
163,Grand-Santi,GF,75.54,4.25,-54.38,Hotel La Villa Couacou
164,Jiangyou,CN,77.2,31.77,104.72,Shangping Shuyuan Inn
165,Soyo,AO,71.76,-6.13,12.37,Hotel Mpampa
169,Palauig,PH,85.71,15.44,119.9,Myhousebythesea
170,Parnamirim,BR,73.4,-5.92,-35.26,Pousada Joaci
171,Axim,GH,74.26,4.87,-2.24,AXIM BEACH RESORT AND SPA
172,Isangel,VU,77.0,-19.55,169.27,Volcano Sea View Tree House
173,Benguela,AO,67.89,-12.58,13.41,Hotel Praia Morena
175,Codrington,AU,62.08,-38.27,141.97,Codrington Gardens Bed And Breakfast
176,Kalmunai,LK,78.76,7.42,81.82,VS Villa
177,Avarua,CK,78.8,-21.21,-159.78,Paradise Inn
178,Campoverde,PE,76.96,-8.48,-74.81,"Hospedaje ""Señor De Muruhuay"""
181,Cabo San Lucas,MX,81.0,22.89,-109.91,Hotel Tesoro Los Cabos
182,Kenai,US,60.8,60.55,-151.26,Aspen Extended Stay Suites
183,Cartagena,CO,81.45,10.4,-75.51,Allure Chocolat
184,Yulara,AU,84.2,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
185,Najran,SA,78.8,17.49,44.13,محمد هادي ال فطيح
186,Souillac,MU,71.6,-20.52,57.52,Bils' Villa
187,Zanjan,IR,60.6,36.67,48.48,Qasr Hotel
188,Byron Bay,AU,73.99,-28.65,153.62,Backpackers Inn on the Beach
190,Alofi,NU,84.2,-19.06,-169.92,Taloa Heights
193,Campbell River,CA,69.8,50.02,-125.24,Ramada by Wyndham Campbell River
200,Vila Velha,BR,72.0,-20.33,-40.29,Hotel Vitória Palace
201,Darhan,MN,60.01,49.49,105.92,Buudai Hotel
202,Port Hardy,CA,60.8,50.7,-127.42,Airport Inn
205,Maceio,BR,75.2,-9.67,-35.74,Mercure Maceio Pajucara Hotel
206,Lompoc,US,66.2,34.64,-120.46,Holiday Inn Express Lompoc
208,Roma,US,69.8,43.21,-75.46,Wingate By Wyndham Rome
210,Pisco,PE,62.6,-13.7,-76.22,Hostal San Isidro Oficial
211,Butaritari,KI,83.46,3.07,172.79,Isles Sunset Lodge
213,Floresta,BR,69.35,-8.6,-38.57,Pousada Maria Bonita
215,Mbanza-Ngungu,CD,72.79,-5.25,14.87,Hotel Full Business
217,Summerside,CA,60.01,46.4,-63.79,Summerside Motel & Cottages
218,Porto Santo,PT,71.6,33.07,-16.34,Hotel Porto Santo & Spa
220,Bernalda,IT,66.0,40.41,16.69,Hotel Giardino Giamperduto
221,Chapais,CA,60.8,49.78,-74.85,Hôtel Opémiska
222,Pacific Grove,US,63.0,36.62,-121.92,Lovers Point Inn
226,Port Augusta,AU,68.0,-32.5,137.77,Majestic Oasis Apartments
227,Guanica,PR,77.0,17.97,-66.91,Copamarina Beach Resort & Spa
229,Balkanabat,TM,71.8,39.51,54.37,Nebitchi Hotel
230,Alice Springs,AU,84.2,-23.7,133.88,Desert Palms Alice Springs
232,Hasaki,JP,88.0,35.73,140.83,Inubosaki Kanko Hotel
235,Bull Savanna,JM,78.24,17.89,-77.59,Big Red's
237,Rockhampton,AU,77.0,-23.38,150.5,Mercure Rockhampton
239,Kobyzhcha,UA,62.01,50.83,31.5,Жопа мира
241,Noshiro,JP,82.4,40.2,140.02,Azuma Ryokan
243,Faanui,PF,78.04,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
244,Whitianga,NZ,60.01,-36.83,175.7,Beachside Resort Whitianga
245,Albertville,US,78.01,34.27,-86.21,Microtel Inn & Suites by Wyndham Albertville
246,Praia Da Vitoria,PT,71.01,38.73,-27.07,Hotel Branco I
247,Guerrero Negro,MX,73.56,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
250,Honiara,SB,87.8,-9.43,159.95,Heritage Park Hotel
252,Praya,CV,78.8,14.92,-23.51,LT Aparthotel
253,Davila,PH,84.81,18.47,120.58,SITIO 3 DAVILA PASUQUIN
254,Sabang,ID,81.68,5.89,95.32,Hotel Citra
255,Hithadhoo,MV,81.95,-0.6,73.08,Scoop Guest House
256,Telemaco Borba,BR,60.85,-24.32,-50.62,Vespasiano Hotel Telêmaco Borba
257,Kodiak,US,66.2,57.79,-152.41,Best Western Kodiak Inn and Convention Center
258,Susangerd,IR,84.2,31.56,48.18,فاطمه ابرفت
259,Ailigandi,PA,79.14,9.23,-78.02,akwa reef lodge
261,Tautira,PF,84.2,-17.73,-149.15,Pension Oaoa
263,Berezovyy,RU,65.07,51.67,135.7,"Hotel ""Phoenix"""
264,Laguna Beach,US,71.01,33.54,-117.78,Pacific Edge Hotel
266,Iwanai,JP,77.27,42.97,140.51,いわない高原ホテル
267,Tres Lagoas,BR,76.82,-20.75,-51.68,Druds Express Hotel
268,Ambulu,ID,81.81,-8.35,113.61,Hotel Ambulu Jember
270,Bilma,NE,89.33,18.69,12.92,Expeditions Ténére voyages
274,Porto Novo,BJ,77.0,6.5,2.6,Tour Eiffel Hotel Benin
275,Ribas Do Rio Pardo,BR,77.76,-20.44,-53.76,Ataíde Martins
277,Hilo,US,86.0,19.73,-155.09,Hilo Hawaiian Hotel
279,Pokhara,NP,76.08,28.23,83.98,Hotel View Point
280,Lorengau,PG,81.09,-2.02,147.27,Lorengau Harbourside Hotel
281,Gorodishche,RU,64.4,48.8,44.47,Inn Delovoy Vizit
282,Gat,IL,78.01,31.61,34.76,OlusHome
283,Huilong,CN,84.0,31.81,121.66,Hilton Garden Inn Qidong
284,Oistins,BB,82.4,13.07,-59.53,Butterfly Beach Hotel
285,San Jose,US,69.8,37.34,-121.89,The Westin San Jose
287,Tual,ID,79.52,-5.67,132.75,Grand Vilia Hotel
288,Khatra,IN,78.49,22.98,86.85,Aranyak Resort Mukutmanipur
289,San Patricio,MX,86.0,19.22,-104.7,Hotel Cabo Blanco
290,Fortuna,US,72.0,40.6,-124.16,Super 8 by Wyndham Fortuna
291,Kaabong,UG,62.51,3.48,34.15,Rock Motel Ltd
292,Katsuura,JP,88.0,35.13,140.3,Katsuura Hotel Mikazuki
295,Coahuayana,MX,78.22,18.73,-103.68,Hotel Los Arcos
299,Plymouth,US,64.99,41.83,-70.83,Rodeway Inn Middleboro-Plymouth
300,Nisia Floresta,BR,73.4,-6.09,-35.21,Rancho Crepusculo
301,Bathsheba,BB,82.4,13.22,-59.52,Atlantis Hotel
302,Muli,MV,82.18,2.92,73.57,Medhufushi Island Resort
305,North Bend,US,84.0,43.41,-124.22,Red Lion Hotel Coos Bay
307,Bengkulu,ID,80.56,-3.8,102.27,Grage Hotel Bengkulu
308,Kruisfontein,ZA,61.0,-34.0,24.73,Oyster Bay House Rental
309,Khandyga,RU,65.84,62.67,135.6,Apel'sin
310,Maturin,VE,75.38,9.75,-63.18,Residencias Guaritos I
312,Kudahuvadhoo,MV,82.67,2.67,72.89,Kudahuvadhoo Retreat
315,Manama,BH,89.6,26.22,50.58,Al Safir Hotel & Tower
316,Santo Domingo,DO,81.0,18.5,-69.99,Micro Hotel Condo Suites
317,Xianyang,CN,73.99,34.34,108.7,铁路大厦
319,Limbang,MY,86.0,4.75,115.0,Purnama Hotel
321,Tagusao,PH,85.35,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
323,Awbari,LY,84.87,26.59,12.78,فندق أوباري
